nr_pedido,dt_momento,codigo_filial,nome_filial,codigo_cliente,nome_cliente,uf,codigo_produto,descricao_produto,marca,preco_unitario,quantidade,avaliacao
1,2019-01-01,3,Filial 3,16,Cliente 16,MA,11,Produto 11,Marca 1,17.47,5,4
2,2019-01-01,4,Filial 4,79,Cliente 79,RN,12,Produto 12,Marca 2,68.11,7,4
3,2019-01-01,5,Filial 5,27,Cliente 27,ES,2,Produto 2,Marca 3,99.33,7,2
4,2019-01-01,8,Filial 8,67,Cliente 67,ES,18,Produto 18,Marca 2,98.95,4,5
5,2019-01-01,2,Filial 2,86,Cliente 86,RN,20,Produto 20,Marca 2,64.09,2,5
6,2019-01-01,1,Filial 1,4,Cliente 4,CE,5,Produto 5,Marca 1,86.60,5,2
7,2019-01-01,6,Filial 6,54,Cliente 54,RO,12,Produto 12,Marca 2,68.11,5,2
8,2019-01-01,9,Filial 9,52,Cliente 52,PI,16,Produto 16,Marca 2,12.40,6,2
9,2019-01-01,7,Filial 7,60,Cliente 60,SE,8,Produto 8,Marca 2,44.87,3,4
10,2019-01-01,10,Filial 10,2,Cliente 2,CE,11,Produto 11,Marca 1,17.47,5,3
11,2019-01-02,1,Filial 1,66,Cliente 66,DF,6,Produto 6,Marca 1,87.73,7,5
12,2019-01-02,9,Filial 9,28,Cliente 28,PB,14,Produto 14,Marca 3,2.87,4,4
13,2019-01-02,2,Filial 2,73,Cliente 73,PE,18,Produto 18,Marca 2,98.95,5,4
14,2019-01-02,3,Filial 3,92,Cliente 92,AL,4,Produto 4,Marca 3,44.85,6,2
15,2019-01-02,5,Filial 5,37,Cliente 37,RS,5,Produto 5,Marca 1,86.60,3,4
16,2019-01-02,7,Filial 7,74,Cliente 74,AM,18,Produto 18,Marca 2,98.95,3,3
17,2019-01-02,8,Filial 8,97,Cliente 97,MG,8,Produto 8,Marca 2,44.87,3,3
18,2019-01-02,6,Filial 6,60,Cliente 60,SE,19,Produto 19,Marca 1,16.28,3,3
19,2019-01-02,10,Filial 10,11,Cliente 11,SC,14,Produto 14,Marca 3,2.87,5,2
20,2019-01-02,4,Filial 4,34,Cliente 34,RS,15,Produto 15,Marca 1,14.57,6,2
21,2019-01-03,10,Filial 10,98,Cliente 98,TO,18,Produto 18,Marca 2,98.95,4,4
22,2019-01-03,6,Filial 6,18,Cliente 18,MG,12,Produto 12,Marca 2,68.11,2,5
23,2019-01-03,7,Filial 7,50,Cliente 50,GO,2,Produto 2,Marca 3,99.33,4,3
24,2019-01-03,9,Filial 9,67,Cliente 67,ES,3,Produto 3,Marca 2,49.45,2,4
25,2019-01-03,5,Filial 5,57,Cliente 57,SP,13,Produto 13,Marca 3,18.60,2,4
26,2019-01-03,1,Filial 1,27,Cliente 27,ES,19,Produto 19,Marca 1,16.28,2,2
27,2019-01-03,2,Filial 2,58,Cliente 58,PA,13,Produto 13,Marca 3,18.60,5,5
28,2019-01-03,3,Filial 3,62,Cliente 62,RJ,5,Produto 5,Marca 1,86.60,3,5
29,2019-01-03,8,Filial 8,72,Cliente 72,SE,14,Produto 14,Marca 3,2.87,2,2
30,2019-01-03,4,Filial 4,99,Cliente 99,MG,10,Produto 10,Marca 1,33.55,2,5
31,2019-01-04,4,Filial 4,34,Cliente 34,RS,20,Produto 20,Marca 2,64.09,4,5
32,2019-01-04,8,Filial 8,93,Cliente 93,RJ,11,Produto 11,Marca 1,17.47,3,3
33,2019-01-04,7,Filial 7,15,Cliente 15,AC,8,Produto 8,Marca 2,44.87,2,5
34,2019-01-04,5,Filial 5,11,Cliente 11,SC,6,Produto 6,Marca 1,87.73,3,3
35,2019-01-04,9,Filial 9,24,Cliente 24,PR,2,Produto 2,Marca 3,99.33,5,4
36,2019-01-04,3,Filial 3,58,Cliente 58,PA,12,Produto 12,Marca 2,68.11,6,2
37,2019-01-04,10,Filial 10,55,Cliente 55,ES,6,Produto 6,Marca 1,87.73,5,2
38,2019-01-04,1,Filial 1,94,Cliente 94,PE,11,Produto 11,Marca 1,17.47,7,2
39,2019-01-04,6,Filial 6,19,Cliente 19,MS,2,Produto 2,Marca 3,99.33,3,5
40,2019-01-04,2,Filial 2,27,Cliente 27,ES,15,Produto 15,Marca 1,14.57,2,3
41,2019-01-05,8,Filial 8,41,Cliente 41,PA,17,Produto 17,Marca 2,23.67,6,2
42,2019-01-05,1,Filial 1,71,Cliente 71,RS,2,Produto 2,Marca 3,99.33,3,3
43,2019-01-05,9,Filial 9,80,Cliente 80,RR,18,Produto 18,Marca 2,98.95,3,5
44,2019-01-05,2,Filial 2,89,Cliente 89,RR,15,Produto 15,Marca 1,14.57,3,5
45,2019-01-05,7,Filial 7,100,Cliente 100,MS,12,Produto 12,Marca 2,68.11,5,5
46,2019-01-05,5,Filial 5,91,Cliente 91,SP,3,Produto 3,Marca 2,49.45,7,4
47,2019-01-05,10,Filial 10,6,Cliente 6,RN,17,Produto 17,Marca 2,23.67,6,5
48,2019-01-05,4,Filial 4,54,Cliente 54,RO,7,Produto 7,Marca 1,21.32,4,4
49,2019-01-05,6,Filial 6,24,Cliente 24,PR,17,Produto 17,Marca 2,23.67,6,4
50,2019-01-05,3,Filial 3,68,Cliente 68,AL,12,Produto 12,Marca 2,68.11,5,5
51,2019-01-06,6,Filial 6,100,Cliente 100,MS,17,Produto 17,Marca 2,23.67,7,5
52,2019-01-06,2,Filial 2,93,Cliente 93,RJ,9,Produto 9,Marca 2,41.93,2,5
53,2019-01-06,5,Filial 5,3,Cliente 3,TO,3,Produto 3,Marca 2,49.45,2,3
54,2019-01-06,8,Filial 8,60,Cliente 60,SE,4,Produto 4,Marca 3,44.85,5,2
55,2019-01-06,3,Filial 3,70,Cliente 70,MA,6,Produto 6,Marca 1,87.73,5,4
